nome;codigo_barras;categoria;preco;estoque;estoque_minimo;tipo;unidade
SINVASTATINA 40MG;7896472508594;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896472511853;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896523200644;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896523215273;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896523215358;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7897595604163;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7897595609892;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7897595632623;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7897851250622;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7898060138091;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7898075314077;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7898096578250;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7898216366323;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7899095249080;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7899095254961;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7899620911079;DISLIPIDEMIA;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;5000456009317;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;5000456030465;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7891058000950;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896094209251;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896094209268;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896094209879;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896094209886;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896112402664;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896112406686;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896206402853;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896206406707;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896206407308;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896523201528;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7896658053498;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7898216363209;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7898577810701;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7898577810718;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7898577810725;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7898577810732;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;7898947385693;HIPERTENSÃO;1,00;10;1;unidade;un
SUCCINATO DE METOPROLOL 25 MG;8901148243651;HIPERTENSÃO;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7896015591908;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7896112108443;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7896112137030;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7896112147640;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7896269900150;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7897473201071;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7897473202771;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7897473203082;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 100MCG;7898014561333;ASMA;1,00;10;1;unidade;un
SULFATO DE SALBUTAMOL 5MG;7896269900068;ASMA;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7891106904537;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7891106911337;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7891317016920;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7891317026134;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7891317496388;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7898495609548;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7908020502524;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7908020502548;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7908020502555;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7908020502562;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7908020503026;ANTICONCEPÇÃO;1,00;10;1;unidade;un
VALERATO DE ESTRADIOL 5MG + ENANTATO DE NORETISTERONA 50MG;7908020503064;ANTICONCEPÇÃO;1,00;10;1;unidade;un
